segment_id,label,status,heading,start_ref,end_ref,chapter_index,block_index,notes
001,Prologue,ready_for_review,Prologue,51,52,,,
002,Error and Forgetfulness,ready_for_review,Error and Forgetfulness,53,57,,,
003,The Gospel,ready_for_review,The Gospel,58,75,,,
004,The Book of the Living,ready_for_review,The Book of the Living,76,82,,,
005,The Return to Unity,ready_for_review,The Return to Unity,83,96,,,
006,The Parable of the Jars,ready_for_review,The Parable of the Jars,97,100,,,
007,Coming into Being,ready_for_review,Coming into Being,101,103,,,
008,The Parable of the Nightmares,ready_for_review,The Parable of the Nightmares,104,106,,,
009,The Revelation of the Son,ready_for_review,The Revelation of the Son,107,113,,,
010,The Parable of the Sheep,ready_for_review,The Parable of the Sheep,114,116,,,
011,Doing the Father’s Will,ready_for_review,Doing the Father’s Will,117,120,,,
012,Restoring what was Needed,ready_for_review,Restoring what was Needed,121,124,,,
013,The Father’s Paradise,ready_for_review,The Father’s Paradise,125,127,,,
014,The Father’s Name,ready_for_review,The Father’s Name,128,133,,,
015,The Place of Rest,ready_for_review,The Place of Rest,134,137,,,
016,Conclusion,ready_for_review,Conclusion,138,139,,,
