segment_id,label,status,heading,start_ref,end_ref,chapter_index,block_index,notes
001,Introduction — 1,ready_for_review,Introduction,1.1,1.1,1,1,
002,Introduction — 2,ready_for_review,Introduction,1.2,1.2,1,2,
003,Introduction — 3,ready_for_review,Introduction,1.3,1.3,1,3,
004,Introduction — 4,ready_for_review,Introduction,1.4,1.4,1,4,
005,Introduction — 5,ready_for_review,Introduction,1.5,1.5,1,5,
006,First “I Am” Speech — 1,ready_for_review,First “I Am” Speech,2.1,2.1,2,1,
007,First “I Am” Speech — 2,ready_for_review,First “I Am” Speech,2.2,2.2,2,2,
008,First “I Am” Speech — 3,ready_for_review,First “I Am” Speech,2.3,2.3,2,3,
009,First “I Am” Speech — 4,ready_for_review,First “I Am” Speech,2.4,2.4,2,4,
010,First “I Am” Speech — 5,ready_for_review,First “I Am” Speech,2.5,2.5,2,5,
011,First “I Am” Speech — 6,ready_for_review,First “I Am” Speech,2.6,2.6,2,6,
012,First “I Am” Speech — 7,ready_for_review,First “I Am” Speech,2.7,2.7,2,7,
013,First “I Am” Speech — 8,ready_for_review,First “I Am” Speech,2.8,2.8,2,8,
014,First “I Am” Speech — 9,ready_for_review,First “I Am” Speech,2.9,2.9,2,9,
015,First “I Am” Speech — 10,ready_for_review,First “I Am” Speech,2.10,2.10,2,10,
016,First “I Am” Speech — 11,ready_for_review,First “I Am” Speech,2.11,2.11,2,11,
017,First “I Am” Speech — 12,ready_for_review,First “I Am” Speech,2.12,2.12,2,12,
018,First “I Am” Speech — 13,ready_for_review,First “I Am” Speech,2.13,2.13,2,13,
019,First “I Am” Speech — 14,ready_for_review,First “I Am” Speech,2.14,2.14,2,14,
020,First “I Am” Speech — 15,ready_for_review,First “I Am” Speech,2.15,2.15,2,15,
021,First “I Am” Speech — 16,ready_for_review,First “I Am” Speech,2.16,2.16,2,16,
022,First “I Am” Speech — 17,ready_for_review,First “I Am” Speech,2.17,2.17,2,17,
023,Heed Me — 1,ready_for_review,Heed Me,3.1,3.1,3,1,
024,Heed Me — 2,ready_for_review,Heed Me,3.2,3.2,3,2,
025,Heed Me — 3,ready_for_review,Heed Me,3.3,3.3,3,3,
026,Heed Me — 4,ready_for_review,Heed Me,3.4,3.4,3,4,
027,Heed Me — 5,ready_for_review,Heed Me,3.5,3.5,3,5,
028,Heed Me — 6,ready_for_review,Heed Me,3.6,3.6,3,6,
029,Heed Me — 7,ready_for_review,Heed Me,3.7,3.7,3,7,
030,Heed Me — 8,ready_for_review,Heed Me,3.8,3.8,3,8,
031,Heed Me — 9,ready_for_review,Heed Me,3.9,3.9,3,9,
032,Heed Me — 10,ready_for_review,Heed Me,3.10,3.10,3,10,
033,Heed Me — 11,ready_for_review,Heed Me,3.11,3.11,3,11,
034,Heed Me — 12,ready_for_review,Heed Me,3.12,3.12,3,12,
035,Heed Me — 13,ready_for_review,Heed Me,3.13,3.13,3,13,
036,Why Do You Hate Me? — 1,ready_for_review,Why Do You Hate Me?,4.1,4.1,4,1,
037,Why Do You Hate Me? — 2,ready_for_review,Why Do You Hate Me?,4.2,4.2,4,2,
038,Why Do You Hate Me? — 3,ready_for_review,Why Do You Hate Me?,4.3,4.3,4,3,
039,Why Do You Hate Me? — 4,ready_for_review,Why Do You Hate Me?,4.4,4.4,4,4,
040,Why Do You Hate Me? — 5,ready_for_review,Why Do You Hate Me?,4.5,4.5,4,5,
041,Why Do You Hate Me? — 6,ready_for_review,Why Do You Hate Me?,4.6,4.6,4,6,
042,Why Do You Hate Me? — 7,ready_for_review,Why Do You Hate Me?,4.7,4.7,4,7,
043,Why Do You Hate Me? — 8,ready_for_review,Why Do You Hate Me?,4.8,4.8,4,8,
044,Why Do You Hate Me? — 9,ready_for_review,Why Do You Hate Me?,4.9,4.9,4,9,
045,Why Do You Hate Me? — 10,ready_for_review,Why Do You Hate Me?,4.10,4.10,4,10,
046,Second “I Am” Speech — 1,ready_for_review,Second “I Am” Speech,5.1,5.1,5,1,
047,Second “I Am” Speech — 2,ready_for_review,Second “I Am” Speech,5.2,5.2,5,2,
048,Second “I Am” Speech — 3,ready_for_review,Second “I Am” Speech,5.3,5.3,5,3,
049,Second “I Am” Speech — 4,ready_for_review,Second “I Am” Speech,5.4,5.4,5,4,
050,Second “I Am” Speech — 5,ready_for_review,Second “I Am” Speech,5.5,5.5,5,5,
051,Second “I Am” Speech — 6,ready_for_review,Second “I Am” Speech,5.6,5.6,5,6,
052,Second “I Am” Speech — 7,ready_for_review,Second “I Am” Speech,5.7,5.7,5,7,
053,Second “I Am” Speech — 8,ready_for_review,Second “I Am” Speech,5.8,5.8,5,8,
